DeviceType	DeviceLocation	SusyId	SerNo	TimeStamp	EntryId	EventCode	EventType	Category	Group	Tag
SB 4000TL-20	SN: 2100538165	78	2100538165	07.01.2012 09:36	3915	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	08.01.2012 09:10	3935	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	09.01.2012 09:19	3941	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	10.01.2012 09:00	3955	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	11.01.2012 09:19	3967	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	12.01.2012 09:18	3981	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	13.01.2012 09:01	3991	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	14.01.2012 08:50	4004	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	15.01.2012 08:47	4014	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	16.01.2012 08:47	4024	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	17.01.2012 08:44	4034	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	18.01.2012 08:33	4044	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	19.01.2012 09:22	4054	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	20.01.2012 08:56	4079	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	21.01.2012 09:43	4085	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	21.01.2012 10:15	4087	39	Incoming	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	21.01.2012 10:34	4091	39	Outgoing	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	22.01.2012 08:42	4108	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	23.01.2012 08:46	4121	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	24.01.2012 08:48	4134	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	25.01.2012 08:46	4144	10223	Event	Info	Gerät	Intervallzeit abgelaufen
