sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon

DeviceType;DeviceLocation;SusyId;SerNo;TimeStamp;EntryId;EventCode;EventType;Category;Group;Tag
SB 4000TL-20;SN: 2100071167;78;2100071167;01.06.2012 13:11;9381;8;Incoming;Info;Netzüberwachung;Warten auf Netzspannung
SB 4000TL-21;SN: 2130002605;138;2130002605;01.06.2012 13:11;3997;801;Incoming;Info;Netzüberwachung;Warten auf Netzspannung
SB 4000TL-20;SN: 2100071167;78;2100071167;01.06.2012 13:17;9394;8;Incoming;Warning;Netzüberwachung;Warten auf Netzspannung
SB 4000TL-21;SN: 2130002605;138;2130002605;01.06.2012 13:17;4010;801;Incoming;Warning;Netzüberwachung;Warten auf Netzspannung
SB 4000TL-20;SN: 2100071167;78;2100071167;01.06.2012 13:30;9408;8;Incoming;Error;Netzüberwachung;Netzausfall
SB 4000TL-21;SN: 2130002605;138;2130002605;01.06.2012 13:30;4024;801;Incoming;Error;Netzüberwachung;Netzausfall
SB 4000TL-21;SN: 2130002605;138;2130002605;01.06.2012 13:54;4047;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-20;SN: 2100071167;78;2100071167;01.06.2012 16:39;9597;8;Outgoing;Info;Netzüberwachung;Netzausfall
SB 4000TL-21;SN: 2130002605;138;2130002605;01.06.2012 16:40;4209;801;Outgoing;Info;Netzüberwachung;Netzausfall
SB 4000TL-21;SN: 2130002605;138;2130002605;01.06.2012 19:52;4215;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;01.06.2012 20:47;4219;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-20;SN: 2100071167;78;2100071167;01.06.2012 21:05;9602;39;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-20;SN: 2100071167;78;2100071167;01.06.2012 21:08;9605;39;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;02.06.2012 06:30;4223;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;03.06.2012 05:55;4249;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;04.06.2012 06:30;4261;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;05.06.2012 06:10;4286;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;06.06.2012 06:06;4297;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;07.06.2012 05:57;4310;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;08.06.2012 06:40;4330;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;09.06.2012 06:29;4351;10223;Event;Info;Gerät;Intervallzeit abgelaufen
